FileName;Город;City;Страна;Country;Google;EW;NS;Stat
Adana;Адана;Adana;Турция;Turkey;37;35.325;100;25;0
Alexandria;Александрия;Alexandria;Египет;Egypt;31.198;29.9192;25;25;0.00%
Alicante;Аликанте;Alicante;Испания;Spain;38.345278;-0.483056;8;8
Almati;Алма-Ата;Almaty;Казахстан;Kazakhstan;43.25;76.9;;;EW/WS
Amsterdam;Амстердам;Amsterdam;Нидерланды;Netherlands;52.383333;4.9;20;20;177
Angarsk;Ангарск;Angarsk;Россия;Russia;52.566667;103.916667;25;25;88.06%
Ankara;Анкара;Ankara;Турция;Turkey;39.866667;32.866667;45;35
Antwerpen ;Антверпен;Antwerp ;Бельгия;Belgium;51.216667;4.4;20;25
Athenas;Афины;Athens;Греция;Greece;38;23.716667;35;40
Atlanta;Атланта ;Atlanta;США;USA;33.756944;-84.390278;30;40
Baku;Баку;Baku;Азербайджан;Azerbaijan;40.35;49.833333;27;25
Baltimore;Балтимор;Baltimore;США;USA;39.286389;-76.615
Bangkok;Бангкок;Bangkok;Таиланд;Thailand;13.75;100.516667
Barcelona;Барселона;Barcelona;Испания;Spain;41.383333;2.183333
Beijing;Пекин;Beijing;Китай;China;39.933333;116.4
Belo-Horizonte;Белу-Оризонти;Belo Horizonte;Бразилия;Brazil;-19.816944;-43.955833
Berlin;Берлин;Berlin;Германия;Germany;52.516667;13.383333
Bielefeld;Билефельд;Bielefeld;Германия;Germany;52.016667;8.516667
Bilbao;Бильбао;Bilbao;Испания;Spain;43.266667;-2.433333
Birmingham;Бирмингем;Birmingham;Великобритания;United Kingdom;52.483333;-1.9
Bochum;Бохум;Bochum;Германия;Germany;51.483333;7.216667
Bonn-Koln;Бонн;Bonn;Германия;Germany;50.733889;7.099722
Boston;Бостон;Boston;США;USA;42.357778;-71.061667
Brasilia;Бразилиа;Brasilia;Бразилия;Brazil;-15.780278;-47.928611
Brussels;Брюссель;Brussels;Бельгия;Belgium;50.846667;4.3525
Bucarest;Бухарест;Bucharest;Румыния;Romania;44.4;26.083333
Budapest;Будапешт;Budapest;Венгрия;Hungary;47.516667;19.083333
Buenos-Aires;Буэнос-Айрес;Buenos Aires;Аргентина;Argentina;-34.599722;-58.381944
Buffalo;Баффало ;Buffalo;США;USA;42.904722;-78.849444
Bursa;Бурса;Bursa;Турция;Turkey;40.183333;29.066667
Busan;Пусан;Pusan;Южная Корея;South Korea;35.1;129.040278
Cairo;Каир;Cairo;Египет;Egypt;30.056111;31.239444
Calcutta;Колката;Kolkata;Индия;India;22.8;88.366667
Calgary;Калгари;Calgary;Канада;Canada;51.205163;-114.062805
Caracas;Каракас;Caracas;Венесуэла;Venezuela;10.5;-66.933333
Catania;Катания;Catania;Италия;Italy;37.516667;15.066667
Charleroi;Шарлеруа;Charleroi;Бельгия;Belgium;50.416667;4.444167
Charlotte;Шарлотт ;Charlotte;США;USA;35.226944;-80.843333
Chelyabinsk;Челябинск;Chelyabinsk;Россия;Russia;55.15;61.4
Chennai;Ченнай;Chennai;Индия;India;13.09;80.27
Chicago;Чикаго;Chicago;США;USA;41.9;-87.65
Chongqing;Чунцин;Chongqing;Китай;China;29.55;106.506944
Cleveland;Кливленд;Cleveland;США;USA;41.482222;-81.669722
